Object_Name,Description,Material
fusto_ionica_1,Fusto colonna ordine ionico,Marmo
base_decorata_ionica_1_D,"Base decorata colonna ionica (scotia, astragal, collar)",Marmo
base_decorata_ionica_1_C,"Base decorata colonna ionica (scotia, astragal, collar)",Marmo
base_decorata_ionica_1_B,"Base decorata colonna ionica (scotia, astragal, collar)",Marmo
base_decorata_ionica_1_E,"Base decorata colonna ionica (scotia, astragal, collar)",Marmo
base_decorata_ionica_1_F,"Base decorata colonna ionica (scotia, astragal, collar)",Marmo
base_decorata_ionica_1_A,"Base decorata colonna ionica (scotia, astragal, collar)",Marmo
Capitello_ionica_1_A,capitello colonna ordine ionico,Marmo
Capitello_ionica_1_B,capitello colonna ordine ionico,Marmo
base_ionica_1,Basamento in Marmo - Colonna ordine Ionico,Marmo
abaco_ionica_1_A,Abaco colonna ordine ionico,Marmo
abaco_ionica_1_B,Abaco colonna ordine ionico,Marmo
Capitello_ionica_1_D,capitello colonna ordine ionico,Marmo
Capitello_ionica_1_C,capitello colonna ordine ionico,Marmo
capitello_ionica_1_E,Capitello ordine ionico,Marmo
voluta/capitello_ionica_1_C,Voluta capitello ordine ionico,Marmo
voluta/capitello_ionica_1_D,Voluta capitello ordine ionico,Marmo
voluta/capitello_ionica_1_B,Voluta capitello ordine ionico,Marmo
voluta/capitello_ionica_1_A,Voluta capitello ordine ionico,Marmo
fusto_ionica_2,Fusto colonna ordine ionico,Marmo
base_decorata_ionica_2_D,"Base decorata colonna ionica (scotia, astragal, collar)",Marmo
base_decorata_ionica_2_C,"Base decorata colonna ionica (scotia, astragal, collar)",Marmo
base_decorata_ionica_2_B,"Base decorata colonna ionica (scotia, astragal, collar)",Marmo
base_decorata_ionica_2_E,"Base decorata colonna ionica (scotia, astragal, collar)",Marmo
base_decorata_ionica_2_F,"Base decorata colonna ionica (scotia, astragal, collar)",Marmo
base_decorata_ionica_2_A,"Base decorata colonna ionica (scotia, astragal, collar)",Marmo
Capitello_ionica_2_A,capitello ordine ionico,Marmo
Capitello_ionica_2_B,capitello ordine ionico,Marmo
base_ionica_2,Basamento in Marmo - Colonna ordine Ionico,Marmo
abaco_ionica_2_A,Abaco colonna ordine ionico,Marmo
abaco_ionica_2_B,Abaco colonna ordine ionico,Marmo
Capitello_ionica_2_D,capitello ordine ionico,Marmo
Capitello_ionica_2_C,capitello ordine ionico,Marmo
Capitello_ionica_2_E,Capitello ordine ionico,Marmo
voluta/capitello_ionica_2_C,Voluta capitello ordine ionico,Marmo
voluta/capitello_ionica_2_D,Voluta capitello ordine ionico,Marmo
voluta/capitello_ionica_2_B,Voluta capitello ordine ionico,Marmo
voluta/capitello_ionica_2_A,Voluta capitello ordine ionico,Marmo
fusto_ionica_3,Fusto colonna ordine ionico,Marmo
base_decorata_ionica_3_D,"Base decorata colonna ionica (scotia, astragal, collar)",Marmo
base_decorata_ionica_3_C,"Base decorata colonna ionica (scotia, astragal, collar)",Marmo
base_decorata_ionica_3_B,"Base decorata colonna ionica (scotia, astragal, collar)",Marmo
base_decorata_ionica_3_E,"Base decorata colonna ionica (scotia, astragal, collar)",Marmo
base_decorata_ionica_3_F,"Base decorata colonna ionica (scotia, astragal, collar)",Marmo
base_decorata_ionica_3_A,"Base decorata colonna ionica (scotia, astragal, collar)",Marmo
Capitello_ionica_3_A,capitello colonna ordine ionico,Marmo
Capitello_ionica_3_B,capitello colonna ordine ionico,Marmo
base_ionica_3,Basamento in Marmo - Colonna ordine Ionico,Marmo
abaco_ionica_3_B,Abaco colonna ordine ionico,Marmo
abaco_ionica_3_A,Abaco colonna ordine ionico,Marmo
Capitello_ionica_3_D,capitello colonna ordine ionico,Marmo
Capitello_ionica_3_C,capitello colonna ordine ionico,Marmo
Capitello_ionica_3_E,Capitello ordine ionico,Marmo
voluta/capitello_ionica_3_C,Voluta capitello ordine ionico,Marmo
voluta/capitello_ionica_3_D,Voluta capitello ordine ionico,Marmo
voluta/capitello_ionica_3_B,Voluta capitello ordine ionico,Marmo
voluta/capitello_ionica_3_A,Voluta capitello ordine ionico,Marmo
fusto_ionica_4,Fusto colonna ordine ionico,Marmo
base_decorata_ionica_4_D,"Base decorata colonna ionica (scotia, astragal, collar)",Marmo
base_decorata_ionica_4_C,"Base decorata colonna ionica (scotia, astragal, collar)",Marmo
base_decorata_ionica_4_B,"Base decorata colonna ionica (scotia, astragal, collar)",Marmo
base_decorata_ionica_4_E,"Base decorata colonna ionica (scotia, astragal, collar)",Marmo
base_decorata_ionica_4_F,"Base decorata colonna ionica (scotia, astragal, collar)",Marmo
base_decorata_ionica_4_A,"Base decorata colonna ionica (scotia, astragal, collar)",Marmo
Capitello_ionica_4_A,capitello colonna ordine ionico,Marmo
Capitello_ionica_4_B,capitello colonna ordine ionico,Marmo
base_ionica_4,Basamento in Marmo - Colonna ordine Ionico,Marmo
abaco_ionica_4_B,Abaco colonna ordine ionico,Marmo
abaco_ionica_4_A,Abaco colonna ordine ionico,Marmo
Capitello_ionica_4_D,capitello colonna ordine ionico,Marmo
Capitello_ionica_4_C,capitello colonna ordine ionico,Marmo
Capitello_ionica_4_E,Capitello ordine ionico,Marmo
voluta/capitello_ionica_4_C,Voluta capitello ordine ionico,Marmo
voluta/capitello_ionica_4_D,Voluta capitello ordine ionico,Marmo
voluta/capitello_ionica_4_B,Voluta capitello ordine ionico,Marmo
voluta/capitello_ionica_4_A,Voluta capitello ordine ionico,Marmo
